Longitude,Latitude,annee,diplome,NameOfUni,academie,domaine,discipline,situation,nombre_de_reponses,taux_de_reponse,poids_de_la_discipline,taux_dinsertion,emplois_cadre_ou_professions_intermediaires,emplois_stables,emplois_a_temps_plein,salaire_net_median_des_emplois_a_temps_plein,salaire_brut_annuel_estime,de_diplomes_boursiers,taux_de_chomage_regional,salaire_net_mensuel_median_regional,emplois_cadre,emplois_exterieurs_a_la_region_de_luniversite,femmes,salaire_net_mensuel_regional_1er_quartile,salaire_net_mensuel_regional_3eme_quartile
0.340375,46.58022400000001,2013,MASTER LMD,Poitiers France,Poitiers,"Sciences, technologies et santé",Sciences de la vie et de la terre,18 mois après le diplôme,57,68,11,83,90,63,96,1900,29600,41,9.6,1730,71,84,54,1390,2040
0.340375,46.58022400000001,2013,MASTER LMD,Poitiers France,Poitiers,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,57,68,11,90,92,63,94,2100,32800,41,9.6,1730,72,84,54,1390,2040
0.340375,46.58022400000001,2013,MASTER LMD,Poitiers France,Poitiers,"Sciences, technologies et santé",Sciences fondamentales,18 mois après le diplôme,9,56,2,ns,ns,ns,ns,ns,,41,9.6,1730,ns,ns,ns,1390,2040
1.261105,45.83361900000001,2013,MASTER ENS,Limoges France,Limoges,Masters enseignement,Masters enseignement,30 mois après le diplôme,45,70,100,100,98,95,91,1700,26500,,9.6,1760,97,40,76,1430,2010
1.261105,45.83361900000001,2013,MASTER LMD,Limoges France,Limoges,"Droit, économie et gestion",Économie,18 mois après le diplôme,12,81,6,ns,ns,ns,ns,ns,,38,9.6,1760,ns,ns,ns,1430,2010
1.261105,45.83361900000001,2013,MASTER LMD,Limoges France,Limoges,"Droit, économie et gestion","Autres formations juridiques, économiques et de gestion",30 mois après le diplôme,9,82,4,ns,ns,ns,ns,ns,,38,9.6,1760,ns,ns,ns,1430,2010
1.261105,45.83361900000001,2013,MASTER LMD,Limoges France,Limoges,"Lettres, langues, arts","Lettres, langues, arts",30 mois après le diplôme,23,58,14,ns,ns,ns,ns,ns,,38,9.6,1760,ns,ns,ns,1430,2010
1.261105,45.83361900000001,2013,MASTER LMD,Limoges France,Limoges,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,67,74,33,90,95,60,96,1830,28500,38,9.6,1760,79,66,34,1430,2010
1.261105,45.83361900000001,2013,MASTER LMD,Limoges France,Limoges,"Sciences, technologies et santé",Sciences de l'ingénieur,18 mois après le diplôme,12,80,6,ns,ns,ns,ns,ns,,38,9.6,1760,ns,ns,ns,1430,2010
,,2013,MASTER LMD,Paris 11 - Paris Sud France,Versailles,"Droit, économie et gestion",Économie,30 mois après le diplôme,5,75,1,ns,ns,ns,ns,ns,,23,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Paris 11 - Paris Sud France,Versailles,Sciences humaines et sociales,Autres sciences humaines et sociales,30 mois après le diplôme,0,,,nd,nd,nd,nd,nd,,23,8.8,2070,nd,nd,nd,1630,2580
,,2013,MASTER LMD,Paris 11 - Paris Sud France,Versailles,"Sciences, technologies et santé","Autres sciences, technologies et santé",18 mois après le diplôme,89,64,28,91,93,63,96,2100,32800,23,8.8,2070,72,31,62,1630,2580
,,2013,MASTER ENS,Evry Val-d'Essonne France,Versailles,Masters enseignement,Masters enseignement,18 mois après le diplôme,10,92,100,ns,ns,ns,ns,ns,,,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Evry Val-d'Essonne France,Versailles,"Droit, économie et gestion","Autres formations juridiques, économiques et de gestion",30 mois après le diplôme,35,78,11,83,ns,ns,ns,ns,,18,8.8,2070,ns,ns,77,1630,2580
